CHAIN_ID, CLIENT (STATUS), CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
injective-1, 07-tendermint-163 (Expired), connection-138, channel-106, transfer, local-test-1, 07-tendermint-0, connection-0, channel-0, transfer
injective-1, 07-tendermint-163 (Expired), connection-138, channel-107, icahost, local-test-1, 07-tendermint-0, connection-0, channel-3, icacontroller-injective-1.WITHDRAWAL
injective-1, 07-tendermint-163 (Expired), connection-138, channel-107, icahost, local-test-1, 07-tendermint-0, connection-0, channel-3, icacontroller-injective-1.WITHDRAWAL
injective-1, 07-tendermint-163 (Expired), connection-138, channel-108, icahost, local-test-1, 07-tendermint-0, connection-0, channel-4, icacontroller-injective-1.REDEMPTION
injective-1, 07-tendermint-163 (Expired), connection-138, channel-108, icahost, local-test-1, 07-tendermint-0, connection-0, channel-4, icacontroller-injective-1.REDEMPTION
injective-1, 07-tendermint-163 (Expired), connection-138, channel-109, icahost, local-test-1, 07-tendermint-0, connection-0, channel-1, icacontroller-injective-1.DELEGATION
injective-1, 07-tendermint-163 (Expired), connection-138, channel-109, icahost, local-test-1, 07-tendermint-0, connection-0, channel-1, icacontroller-injective-1.DELEGATION
injective-1, 07-tendermint-163 (Expired), connection-138, channel-110, icahost, local-test-1, 07-tendermint-0, connection-0, channel-2, icacontroller-injective-1.FEE
injective-1, 07-tendermint-163 (Expired), connection-138, channel-110, icahost, local-test-1, 07-tendermint-0, connection-0, channel-2, icacontroller-injective-1.FEE
injective-1, 07-tendermint-164 (Expired), connection-143, channel-111, transfer, stride-1, 07-tendermint-83, connection-70, channel-75, transfer
injective-1, 07-tendermint-165 (Expired), connection-149, channel-112, transfer, local-test-1, 07-tendermint-0, connection-0, channel-0, transfer
injective-1, 07-tendermint-166 (Expired), connection-150, channel-117, transfer, columbus-5, 07-tendermint-176, connection-100, channel-70, transfer
injective-1, 07-tendermint-168 (Expired), connection-152, channel-119, transfer, cosmoshub-4, 07-tendermint-1124, connection-812, channel-570, transfer
injective-1, 07-tendermint-169 (Expired), connection-155, channel-120, transfer, eightball-1, 07-tendermint-34, connection-43, channel-40, transfer
injective-1, 07-tendermint-170 (Expired), connection-156, channel-121, transfer, agoric-3, 07-tendermint-40, connection-37, channel-29, transfer
injective-1, 07-tendermint-171 (Expired), connection-157, channel-122, transfer, mantle-1, 07-tendermint-67, connection-46, channel-33, transfer
injective-1, 07-tendermint-172 (Expired), connection-158, channel-123, transfer, bitcanna-1, 07-tendermint-50, connection-46, channel-28, transfer
