CHAIN_ID, CLIENT (STATUS), CONNECTION, CHANNEL, PORT, COUNTERPARTY_CHAIN, COUNTERPARTY_CLIENT, COUNTERPARTY_CONNECTION, COUNTERPARTY_CHANNEL, COUNTERPARTY_PORT
injective-1, 07-tendermint-216 (Active), connection-202, channel-373, wasm.inj1zksdrv89r5gx0jqa0sp98wxy2jyjfax7zv0f4x, phoenix-1, 07-tendermint-369, connection-311, channel-579, wasm.terra10859kruf556m6vrm6aq9da9t3nr7xwl54thq7sc8ezk7utch9ttqnwdsns
injective-1, 07-tendermint-216 (Active), connection-202, channel-379, wasm.inj1k0d93x5qe73vp20n0szgrf3ejsaum8x9rzgzz8, phoenix-1, 07-tendermint-369, connection-311, channel-584, wasm.terra1cddrrahrepvuxdd2v9ran60ttyaylj03dty425gtyt5vlu4ucz3s6zvemn
injective-1, 07-tendermint-216 (Active), connection-202, channel-381, wasm.inj1mth9mtsnjnzwa0sw2t7ux4erju6an8llh50nyj, phoenix-1, 07-tendermint-369, connection-311, channel-587, wasm.terra1peermvyymcd9jz34lmy767jdg5f0y0wav97hyd7tpy4as72p83vszj6h92
injective-1, 07-tendermint-216 (Active), connection-202, channel-383, wasm.inj1yuvz0hu4demfpfsyr7avuhwampeqlaju2p8kdu, phoenix-1, 07-tendermint-369, connection-311, channel-591, wasm.terra1zypld3vlnsuqzj54h5zj7qe34sydqwr4ej0chaf6q5t96qxyvqhqee7gyd
injective-1, 07-tendermint-216 (Active), connection-202, channel-391, wasm.inj1znpxn5fg9u0rupgwu7lc3nk9ar6kru6keqer5z, phoenix-1, 07-tendermint-369, connection-311, channel-594, wasm.terra1p86nsr30zq4gxpzyqlactnrqm643a8wyl9g9yxk260dvduff6wuq3luxgq
injective-1, 07-tendermint-216 (Active), connection-202, channel-393, wasm.inj1vjg4akc529zzl8qdzmm0yanq8nt9xl5jwuhv2f, phoenix-1, 07-tendermint-369, connection-311, channel-595, wasm.terra1slvfjf3hmy4luqjacvdd5plzwzhltguh0jp7pfzq7n27e9u3zg9s77pjws
injective-1, 07-tendermint-226 (Active), connection-210, channel-152, transfer, celestia, 07-tendermint-28, connection-6, channel-7, transfer
injective-1, 07-tendermint-227 (Expired), connection-212, channel-154, transfer, umee-1, 07-tendermint-241, connection-203, channel-113, transfer
injective-1, 07-tendermint-227 (Expired), connection-213, channel-156, transfer, umee-1, 07-tendermint-241, connection-204, channel-114, transfer
injective-1, 07-tendermint-228 (Expired), connection-216, channel-158, transfer, umee-1, 07-tendermint-242, connection-205, channel-115, transfer
injective-1, 07-tendermint-229 (Active), connection-217, channel-159, transfer, umee-1, 07-tendermint-243, connection-206, channel-116, transfer
